1,2,3
385,Колено для ПЭ-труб 50 AV Engineering (Для ПЭ (полиэтиленовых) труб),9.0
55,Колено для ПЭ-труб вн. 20х1,9.0
258,Колено для ПЭ-труб вн. 20х1/2,9.0
54,Колено для ПЭ-труб вн. 20х3/4,9.0
56,Колено для ПЭ-труб вн. 25х1,9.0
57,Колено для ПЭ-труб вн. 25х3/4,9.0
368,Колено для ПЭ-труб вн. 32х1,9.0
125,Колено для ПЭ-труб вн.32х3/4,9.0
259,Колено для ПЭ-труб нар. 20х1/2,9.0
58,Колено для ПЭ-труб нар. 20х3/4,9.0
59,Колено для ПЭ-труб нар. 25х1,9.0
612,"Колено для ПЭ-труб нар. 25х1/2""",9.0
60,Колено для ПЭ-труб нар. 25х3/4,9.0
195,Колено для ПЭ-труб нар. 32х1,9.0
351,Колено для ПЭ-труб нар. 32х1 1/4,9.0
126,Колено для ПЭ-труб нар. 32х3/4,9.0
378,"Колено М/П 16(2,0)",9.0
444,"Колено нар-нар 1/2"" Цветлит",9.0
616,Колено НК 110х15 РТП (Угол для наружной канализации),10.0
615,Колено НК 110х45 РТП (Угол для наружной канализации),10.0
463,"Колено переходное ПП 20х1/2""серый VALFEX",9.0
464,"Колено переходное ПП 25х3/4""серый VALFEX",9.0
167,Колено ПП 20х45 серый РосТурПласт,9.0
461,Колено ПП 20х90 серый VALFEX,9.0
15,Колено ПП 20х90 серый РосТурПласт,9.0
16,Колено ПП 25х45 серый РосТурПласт,9.0
462,Колено ПП 25х90 серый VALFEX,9.0
17,Колено ПП 25х90 серый РосТурПласт,9.0
140,Колено ПП 32х45 серый РосТурПласт,9.0
74,Колено ПП 32х90 серый РосТурПласт,9.0
228,Колено ПП 40х90 серый РосТурПласт,9.0
86,Колено ПП ком. с креплен. ВР 20х1/2 серый РосТурПласт,9.0
509,Колено ПП ком. с креплен. НР 20х1/2 серый VALFEX,9.0
18,Колено ПП ком. с креплен. НР 20х1/2 серый РосТурПласт,9.0
77,Колено ПП комб. НР 25х1/2 белый РосТурПласт,9.0
19,Колено ПП комб. НР 25х3/4 серый РосТурПласт,9.0
375,"Колено ПП комб. НР. 20х1/2"", серый РосТурПласт",9.0
20,Колено ПП комб. под смеситель ВР 20х1/2 серый РосТурПласт,9.0
222,Колено ПП комб. под смеситель НР 20х1/2 серый РосТурПласт,9.0
248,"Коллектор с расходомерами.термостатич.клапанами и воздухоотводч.1""х3/4",12.0
542,"Коллекторная группа AVE135, 4 вых. AV Engineering (AVE13500104)",12.0
496,"Кольцо для колодца КСФ 10.9-10-А С16/20, W6, F100",9.0
328,Кольцо железобетонное КС-10-9 (1000х900х80),9.0
329,Кольцо железобетонное КЦД-10-9 (1000х900х80) с дном,9.0
187,"Комплект кранов для радиаторов 1/2"" прямой (с термоголовкой) AV Engine",12.0
696,Комплект монтажный Ду15 для радиаторов,8.0
572,"Контргайка чугун Ду50 (2"")ВР Fittex PLUS",9.0
720,Корпус люка лёгкого Д. колодцев.,9.0
551,Кран PP-R шаровый сер Дн 25 (40/10) VALFEX,9.0
550,Кран PP-R шаровый сер Дн 32 (24/6) VALFEX,9.0
225,Кран вентильный 1/2х1/2 установочный хром с чашкой,9.0
96,Кран вентильный 1/2х3/4 для стир. машины трехпроходной хром,9.0
349,Кран Маевсвкого 1/2 (воздуховодчик ручной) Цветлит,9.0
639,"Кран Маевсвкого 3/4""",9.0
465,"Кран мини F242.04 (старый арт.FR242 -1/2"" FM)",9.0
175,Кран настенный водоразборный со штуцером 1/2(поливочный),9.0
114,Кран настенный водоразборный со штуцером 3/4 никелир.,9.0
646,"Кран пробковый трехходовой
натяжной муфтовый универсальный
11Б18бк К",9.0
127,Кран установочный 1/2х1/2 нерж. сталь красн.,9.0
72,Кран установочный 1/2х3/4 для стир. машины син.,9.0
408,Кран шаровой с гайкой 3/4х3/4 PN40 AV,9.0
134,Кран шаровый 1 1/2 вн-вн ручка (40),9.0
223,Кран шаровый 1 1/2 нар-вн ручка (40),9.0
595,"Кран шаровый 1 1/2""(40) ВН/ВН рычаг",9.0
136,"Кран шаровый 1 1/4"" нар.-вн. ручка PN1,6 МПа; 11Б27п5 (32)",9.0
169,Кран шаровый 1 нар-вн бабочка (со сгоном),9.0
386,"Кран шаровый 1"" вн-вн. ручка, Цветлит",9.0
395,"Кран шаровый 1"" нар-вн Россия",9.0
181,"Кран шаровый 1"" нар-вн ручка PN1,6 мПа",9.0
436,"Кран шаровый 1"" нар-вн. ручка, Цветлит",9.0
372,"Кран шаровый 1"" нар.-вн. бабочка, Цветлит (Кран с американкой 1"".)",9.0
128,Кран шаровый 1/2 нар-нар бабочка PN30 AV,9.0
683,"Кран шаровый 1/2 под манометр 1,6 МПа",9.0
640,Кран шаровый 1/2 стандарт вн-вн бабочка PN 1.6 Цветлит,9.0
145,Кран шаровый 1/2 стандарт вн-вн ручка PN 1.6 Цветлит,9.0
21,Кран шаровый 1/2 стандарт нар-вн. бабочка Цветлит,9.0
489,Кран шаровый 1/2 стандарт нар-вн. ручка Цветлит,9.0
688,"Кран шаровый 1/2"" 3/4  PN1,6 МПа 11Б27п7 Цветлит",9.0
589,"Кран шаровый 1/2"" вн.-вн. бабочка PN40, LD (LD.47.300.15)",9.0
